tm     Tsp    T1     Q1    
 333.1  58.00  57.69  62.25 
 334.0  58.00  57.69  62.28 
 335.1  58.00  57.69  62.30 
 336.0  58.00  57.69  62.33 
 337.0  58.00  57.69  62.35 
 338.1  58.00  57.69  62.38 
 339.1  58.00  57.69  62.40 
 340.0  58.00  57.69  62.43 
 341.0  58.00  57.69  62.45 
 342.0  58.00  57.69  62.48 
 343.0  58.00  57.69  62.50 
 344.0  58.00  57.69  62.52 
 345.1  58.00  57.69  62.55 
 346.0  58.00  57.69  62.57 
 347.1  58.00  57.69  62.60 
 348.0  58.00  57.69  62.62 
 349.1  58.00  57.69  62.65 
 350.1  58.00  57.69  62.67 
 351.1  58.00  57.69  62.70 
 352.1  58.00  57.69  62.72 
 353.1  58.00  57.69  62.75 
 354.1  58.00  57.69  62.77 
 355.0  58.00  57.69  62.80 
 356.1  58.00  57.69  62.82 
 357.1  58.00  57.69  62.85 
 358.1  58.00  57.69  62.87 
 359.1  58.00  58.01  62.76 
 360.0  58.00  57.69  62.79 
 361.0  58.00  57.69  62.81 
 362.0  58.00  57.69  62.83 
 363.1  58.00  57.69  62.86 
 364.1  58.00  57.69  62.88 
 365.1  58.00  58.01  62.77 
 366.1  58.00  57.69  62.79 
 367.1  58.00  57.69  62.81 
 368.1  58.00  57.69  62.83 
 369.1  58.00  57.69  62.86 
 370.1  58.00  57.69  62.88 
 371.1  58.00  57.69  62.90 
 372.0  58.00  57.69  62.92 
 373.0  58.00  57.69  62.94 
 374.1  58.00  57.69  63.09 
 375.1  58.00  57.69  63.12 
 376.1  58.00  57.69  63.14 
 377.1  58.00  57.69  63.16 
 378.1  58.00  58.01  63.05 
 379.1  58.00  58.01  62.94 
 380.1  58.00  57.69  63.09 
 381.1  58.00  57.69  63.12 
 382.0  58.00  57.69  63.14 
 383.0  58.00  57.69  63.16 
 384.1  58.00  58.01  63.05 
 385.0  58.00  58.01  62.94 
 386.1  58.00  58.01  62.83 
 387.1  58.00  57.69  62.84 
 388.1  58.00  58.01  62.73 
 389.1  58.00  58.01  62.61 
 390.0  58.00  57.69  62.62 
 391.0  58.00  58.01  62.50 
 392.1  58.00  57.69  62.52 
 393.1  58.00  58.01  62.53 
 394.0  58.00  58.01  62.54 
 395.1  58.00  58.01  62.42 
 396.0  58.00  58.01  62.30 
 397.0  58.00  58.01  62.17 
 398.1  58.00  58.01  62.05 
 399.1  58.00  58.01  62.05 
 400.0  58.00  58.01  62.06 
 401.0  58.00  58.01  62.06 
 402.0  58.00  58.01  61.93 
 403.1  58.00  58.01  61.94 
 404.1  58.00  58.01  61.94 
 405.0  58.00  58.01  61.81 
 406.0  58.00  58.01  61.81 
 407.0  58.00  58.01  61.68 
 408.1  58.00  58.01  61.68 
 409.0  58.00  58.01  61.68 
 410.1  58.00  58.01  61.68 
 411.1  58.00  58.01  61.68 
 412.0  58.00  58.01  61.68 
 413.1  58.00  58.01  61.67 
 414.0  58.00  58.01  61.67 
 415.0  58.00  58.01  61.67 
 416.0  58.00  58.01  61.67 
 417.1  58.00  58.01  61.67 
 418.0  58.00  58.01  61.67 
 419.0  58.00  58.01  61.67 
 420.0  58.00  58.01  61.67 
 421.0  58.00  58.01  61.67 
 422.0  58.00  58.01  61.66 
 423.0  58.00  58.01  61.66 
 424.0  58.00  58.01  61.66 
 425.0  58.00  58.01  61.66 
 426.0  58.00  58.01  61.66 
 427.1  58.00  58.01  61.66 
 428.1  58.00  58.01  61.66 
 429.1  58.00  58.01  61.66 
 430.0  58.00  58.01  61.66 
 431.0  58.00  58.01  61.65 
 432.1  58.00  58.01  61.65 
 433.0  58.00  58.01  61.65 
 434.1  58.00  58.01  61.65 
 435.1  58.00  58.01  61.65 
 436.0  58.00  58.01  61.65 
 437.0  58.00  58.01  61.65 
 438.0  58.00  58.01  61.65 
 439.0  58.00  58.01  61.65 
 440.0  58.00  58.01  61.64 
 441.1  58.00  58.01  61.64 
 442.1  58.00  58.01  61.64 
 443.1  58.00  58.01  61.64 
 444.0  58.00  58.01  61.64 
 445.0  58.00  58.01  61.64 
 446.0  58.00  58.01  61.64 
 447.1  58.00  58.01  61.64 
 448.0  58.00  58.01  61.63 
 449.0  58.00  58.01  61.63 
 450.0  58.00  58.01  61.63 
 451.0  58.00  58.01  61.63 
 452.1  58.00  58.01  61.63 
 453.0  58.00  58.01  61.63 
 454.0  58.00  58.01  61.63 
 455.0  58.00  58.01  61.63 
 456.1  58.00  58.01  61.63 
 457.0  58.00  58.01  61.62 
 458.0  58.00  58.01  61.62 
 459.4  58.00  58.01  61.62 
 460.0  58.00  58.01  61.62 
 461.0  58.00  58.01  61.62 
 462.0  58.00  58.01  61.62 
 463.1  58.00  58.01  61.62 
 464.0  58.00  58.01  61.62 
 465.0  58.00  58.01  61.62 
 466.1  58.00  58.01  61.61 
 467.1  58.00  58.01  61.61 
 468.1  58.00  58.01  61.61 
 469.0  58.00  58.01  61.61 
 470.0  58.00  58.01  61.61 
 471.1  58.00  57.69  61.74 
 472.0  58.00  58.01  61.74 
 473.1  58.00  58.01  61.74 
 474.1  58.00  58.01  61.74 
 475.1  58.00  58.01  61.74 
 476.1  58.00  58.01  61.74 
 477.0  58.00  58.01  61.74 
 478.0  58.00  58.01  61.74 
 479.0  58.00  58.01  61.74 
 480.0  58.00  58.01  61.75 
 481.0  58.00  57.69  61.88 
 482.0  58.00  58.01  61.88 
 483.1  58.00  58.01  61.88 
 484.1  58.00  58.01  61.88 
 485.1  58.00  58.01  61.89 
 486.0  58.00  58.01  61.76 
 487.0  58.00  57.69  61.89 
 488.1  58.00  58.01  61.89 
 489.1  58.00  58.01  61.89 
 490.0  58.00  58.01  61.90 
 491.1  58.00  58.01  61.90 
 492.0  58.00  58.01  61.90 
 493.0  58.00  58.01  61.90 
 494.1  58.00  58.01  61.90 
 495.1  58.00  58.01  61.91 
 496.1  58.00  58.01  61.78 
 497.0  58.00  58.01  61.78 
 498.0  58.00  58.01  61.78 
 499.0  58.00  58.01  61.78 
 500.0  58.00  57.69  61.91 
 501.1  58.00  58.01  61.91 
 502.1  58.00  58.01  61.79 
 503.0  58.00  58.01  61.79 
