tm     Tsp    T1     Q1    
 376.0  63.00  62.85  70.43  66.55
 377.0  63.00  62.85  70.32  66.49
 378.0  63.00  62.85  70.33  66.48
 379.0  63.00  62.85  70.35  66.48
 380.0  63.00  62.85  70.36  66.47
 381.0  63.00  62.85  70.37  66.47
 382.0  63.00  62.85  70.26  66.40
 383.0  63.00  62.85  70.27  66.40
 384.0  63.00  62.85  70.28  66.40
 385.0  63.00  62.85  70.29  66.40
 386.0  63.00  62.85  70.31  66.40
 387.0  63.00  62.85  70.32  66.40
 388.0  63.00  62.85  70.33  66.40
 389.0  63.00  62.85  70.34  66.40
 390.0  63.00  62.85  70.35  66.40
 391.0  63.00  62.85  70.37  66.40
 392.0  63.00  62.85  70.38  66.40
 393.0  63.00  62.85  70.39  66.40
 394.0  63.00  62.85  70.40  66.40
 395.0  63.00  62.85  70.41  66.40
 396.0  63.00  62.85  70.43  66.40
 397.0  63.00  62.85  70.44  66.40
 398.0  63.00  62.85  70.45  66.40
 399.0  63.00  62.85  70.46  66.40
 400.0  63.00  62.85  70.47  66.40
 401.0  63.00  62.85  70.49  66.40
 402.0  63.00  62.85  70.50  66.40
 403.0  63.00  62.85  70.51  66.40
 404.0  63.00  62.85  70.52  66.40
 405.0  63.00  62.85  70.54  66.40
 406.0  63.00  62.85  70.55  66.40
 407.0  63.00  62.85  70.56  66.40
 408.0  63.00  62.85  70.57  66.40
 409.0  63.00  62.85  70.58  66.40
 410.0  63.00  62.85  70.60  66.40
 411.0  63.00  62.85  70.61  66.40
 412.0  63.00  62.85  70.62  66.40
 413.0  63.00  62.85  70.63  66.40
 414.0  63.00  62.85  70.64  66.40
 415.0  63.00  62.85  70.66  66.40
 416.0  63.00  62.85  70.67  66.40
 417.0  63.00  62.85  70.68  66.40
 418.0  63.00  62.85  70.69  66.40
 419.0  63.00  62.85  70.70  66.40
 420.0  63.00  62.85  70.72  66.40
 421.0  63.00  62.85  70.73  66.40
 422.0  63.00  62.85  70.74  66.40
 423.0  63.00  62.85  70.75  66.40
 424.0  63.00  62.85  70.77  66.40
 425.0  63.00  62.85  70.78  66.40
 426.0  63.00  62.85  70.79  66.40
 427.0  63.00  62.85  70.80  66.40
 428.0  63.00  62.85  70.81  66.40
 429.0  63.00  62.85  70.83  66.40
 430.0  63.00  62.85  70.84  66.40
 431.0  63.00  62.85  70.85  66.40
 432.0  63.00  62.85  70.86  66.40
