tm     Tsp    T1     Q1    
 506.0  70.00  69.29  90.72 
 507.1  70.00  69.29  90.55 
 508.1  70.00  69.29  90.38 
 509.1  70.00  69.29  90.20 
 510.1  70.00  69.29  90.02 
 511.0  70.00  69.29  89.84 
 512.1  70.00  69.29  89.78 
 513.1  70.00  69.29  89.59 
 514.1  70.00  69.62  89.40 
 515.0  70.00  69.62  89.20 
 516.1  70.00  69.62  89.00 
 517.1  70.00  69.62  88.80 
 518.1  70.00  69.62  88.59 
 519.0  70.00  69.62  88.38 
 520.0  70.00  69.62  88.17 
 521.0  70.00  69.62  88.08 
 522.0  70.00  69.62  88.00 
 523.0  70.00  69.62  87.91 
 524.0  70.00  69.94  87.68 
 525.0  70.00  69.94  87.46 
 526.0  70.00  69.94  87.23 
 527.0  70.00  69.94  87.00 
 528.0  70.00  69.94  86.76 
 529.0  70.00  69.94  86.65 
 530.0  70.00  69.94  86.54 
 531.0  70.00  69.94  86.43 
 532.0  70.00  69.94  86.32 
 533.0  70.00  70.26  86.07 
 534.0  70.00  70.26  85.82 
 535.0  70.00  70.26  85.57 
 536.0  70.00  70.26  85.31 
 537.0  70.00  70.26  85.05 
 538.0  70.00  70.26  84.79 
 539.0  70.00  70.26  84.65 
 540.1  70.00  70.26  84.51 
 541.0  70.00  70.26  84.38 
 542.0  70.00  70.26  84.23 
 543.0  70.00  70.26  84.09 
 544.1  70.00  70.26  83.95 
 545.1  70.00  70.26  83.80 
 546.0  70.00  70.26  83.65 
 547.0  70.00  70.26  83.50 
 548.0  70.00  70.26  83.48 
 549.1  70.00  70.58  83.33 
 550.1  70.00  70.58  83.18 
 551.0  70.00  70.58  83.02 
 552.0  70.00  70.58  82.86 
 553.0  70.00  70.58  82.71 
 554.1  70.00  70.58  82.55 
 555.1  70.00  70.58  82.38 
 556.1  70.00  70.58  82.22 
 557.0  70.00  70.58  82.06 
 558.0  70.00  70.58  81.89 
 559.0  70.00  70.58  81.72 
 560.1  70.00  70.58  81.55 
 561.0  70.00  70.58  81.38 
 562.0  70.00  70.58  81.20 
 563.0  70.00  70.58  81.03 
 564.1  70.00  70.58  80.98 
 565.0  70.00  70.58  80.93 
 566.0  70.00  70.58  80.89 
 567.0  70.00  70.58  80.84 
 568.0  70.00  70.58  80.79 
 569.1  70.00  70.58  80.75 
 570.0  70.00  70.58  80.70 
 571.0  70.00  70.58  80.65 
 572.0  70.00  70.58  80.61 
 573.0  70.00  70.58  80.56 
 574.0  70.00  70.58  80.51 
 575.0  70.00  70.58  80.47 
 576.0  70.00  70.58  80.42 
 577.0  70.00  70.58  80.37 
 578.1  70.00  70.58  80.33 
 579.0  70.00  70.58  80.28 
 580.0  70.00  70.58  80.23 
 581.0  70.00  70.58  80.19 
 582.0  70.00  70.58  80.14 
 583.1  70.00  70.58  80.09 
 584.0  70.00  70.58  80.05 
 585.0  70.00  70.58  80.00 
 586.1  70.00  70.58  79.95 
 587.0  70.00  70.58  79.91 
 588.1  70.00  70.58  79.86 
 589.0  70.00  70.58  79.81 
 590.1  70.00  70.58  79.77 
 591.1  70.00  70.58  79.72 
 592.0  70.00  70.58  79.67 
 593.1  70.00  70.58  79.63 
 594.1  70.00  70.58  79.58 
 595.0  70.00  70.26  79.66 
 596.0  70.00  70.26  79.75 
 597.0  70.00  70.58  79.71 
 598.1  70.00  70.58  79.66 
 599.1  70.00  70.26  79.75 
 600.0  70.00  70.26  79.84 
 601.1  70.00  70.26  79.93 
 602.1  70.00  70.26  80.02 
 603.1  70.00  70.26  80.12 
 604.1  70.00  70.26  80.21 
 605.0  70.00  70.26  80.31 
 606.0  70.00  70.26  80.41 
 607.1  70.00  70.26  80.51 
 608.0  70.00  70.26  80.61 
 609.0  70.00  70.26  80.72 
 610.0  70.00  70.26  80.69 
 611.1  70.00  70.26  80.67 
 612.0  70.00  70.26  80.78 
 613.0  70.00  70.26  80.88 
 614.0  70.00  70.26  80.86 
 615.1  70.00  70.26  80.84 
 616.1  70.00  70.26  80.82 
 617.0  70.00  70.26  80.80 
 618.1  70.00  70.26  80.78 
 619.0  70.00  70.26  80.76 
 620.0  70.00  70.26  80.74 
 621.1  70.00  70.26  80.72 
 622.0  70.00  70.26  80.70 
 623.1  70.00  70.26  80.67 
 624.1  70.00  70.26  80.65 
 625.1  70.00  70.26  80.63 
 626.0  70.00  70.26  80.61 
 627.0  70.00  70.26  80.59 
 628.0  70.00  70.26  80.57 
 629.0  70.00  70.26  80.55 
 630.1  70.00  70.26  80.53 
 631.1  70.00  70.26  80.51 
 632.0  70.00  70.26  80.49 
 633.1  70.00  70.26  80.47 
 634.1  70.00  70.26  80.44 
 635.1  70.00  70.26  80.42 
 636.1  70.00  70.26  80.40 
 637.0  70.00  69.94  80.51 
 638.0  70.00  69.94  80.62 
 639.0  70.00  69.94  80.74 
 640.0  70.00  69.94  80.85 
 641.0  70.00  69.94  80.97 
 642.1  70.00  69.94  81.09 
 643.0  70.00  70.26  81.08 
 644.0  70.00  69.94  81.20 
 645.1  70.00  69.94  81.32 
 646.0  70.00  69.94  81.44 
 647.0  70.00  70.26  81.44 
 648.1  70.00  69.94  81.56 
 649.0  70.00  70.26  81.56 
 650.0  70.00  69.94  81.68 
 651.1  70.00  69.94  81.81 
 652.0  70.00  69.94  81.81 
 653.0  70.00  69.94  81.81 
 654.1  70.00  69.94  81.81 
 655.0  70.00  69.94  81.81 
 656.0  70.00  69.94  81.81 
 657.1  70.00  69.94  81.81 
 658.0  70.00  69.94  81.94 
 659.1  70.00  69.94  81.94 
 660.0  70.00  69.94  81.95 
 661.0  70.00  69.94  81.95 
 662.0  70.00  69.94  82.08 
 663.1  70.00  69.94  82.08 
 664.0  70.00  69.94  82.22 
 665.0  70.00  69.94  82.22 
 666.0  70.00  69.94  82.23 
 667.0  70.00  69.94  82.23 
 668.0  70.00  69.94  82.23 
 669.1  70.00  69.94  82.24 
 670.0  70.00  69.94  82.24 
 671.1  70.00  69.94  82.25 
 672.1  70.00  69.94  82.25 
 673.0  70.00  69.94  82.26 
 674.0  70.00  69.94  82.26 
 675.0  70.00  69.94  82.27 
 676.0  70.00  69.94  82.27 
 677.0  70.00  69.94  82.28 
 678.0  70.00  69.94  82.28 
 679.0  70.00  69.94  82.29 
 680.0  70.00  69.94  82.29 
 681.0  70.00  69.94  82.30 
 682.0  70.00  69.94  82.30 
 683.0  70.00  69.94  82.31 
 684.0  70.00  69.94  82.31 
 685.0  70.00  69.94  82.32 
 686.1  70.00  69.94  82.32 
 687.1  70.00  69.94  82.33 
 688.1  70.00  69.94  82.33 
 689.0  70.00  69.94  82.34 
 690.0  70.00  69.94  82.34 
 691.0  70.00  69.94  82.35 
 692.0  70.00  69.94  82.35 
 693.0  70.00  69.94  82.36 
 694.0  70.00  69.94  82.36 
 695.0  70.00  69.94  82.37 
 696.0  70.00  69.94  82.37 
 697.0  70.00  69.94  82.38 
 698.1  70.00  69.94  82.38 
 699.0  70.00  69.94  82.39 
 700.0  70.00  69.94  82.39 
 701.0  70.00  69.94  82.40 
 702.0  70.00  69.94  82.40 
 703.1  70.00  69.94  82.41 
 704.0  70.00  69.94  82.41 
 705.0  70.00  69.94  82.42 
 706.1  70.00  69.94  82.42 
 707.0  70.00  69.94  82.42 
 708.0  70.00  69.94  82.43 
 709.0  70.00  69.94  82.43 
 710.0  70.00  69.94  82.44 
 711.0  70.00  69.94  82.44 
 712.1  70.00  69.94  82.45 
 713.0  70.00  69.94  82.45 
 714.1  70.00  69.94  82.46 
 715.1  70.00  69.94  82.46 
 716.0  70.00  69.94  82.47 
 717.0  70.00  69.94  82.47 
 718.0  70.00  69.94  82.48 
 719.0  70.00  69.94  82.48 
 720.0  70.00  69.94  82.49 
 721.1  70.00  69.94  82.49 
 722.1  70.00  69.94  82.50 
 723.0  70.00  69.94  82.50 
 724.0  70.00  69.94  82.51 
 725.0  70.00  69.94  82.51 
 726.1  70.00  69.94  82.52 
 727.0  70.00  69.94  82.52 
 728.0  70.00  69.94  82.53 
 729.0  70.00  69.94  82.53 
 730.0  70.00  69.94  82.54 
 731.1  70.00  69.94  82.54 
 732.0  70.00  69.94  82.55 
 733.0  70.00  69.94  82.55 
 734.1  70.00  70.26  82.43 
 735.0  70.00  69.94  82.43 
 736.1  70.00  70.26  82.30 
 737.0  70.00  69.94  82.30 
 738.1  70.00  69.94  82.30 
 739.0  70.00  69.94  82.31 
 740.0  70.00  69.94  82.31 
 741.1  70.00  69.94  82.31 
 742.1  70.00  69.94  82.31 
 743.1  70.00  69.94  82.31 
 744.0  70.00  69.94  82.31 
 745.0  70.00  69.94  82.31 
 746.0  70.00  69.94  82.32 
 747.0  70.00  69.94  82.32 
 748.0  70.00  69.94  82.32 
 749.0  70.00  69.94  82.45 
 750.1  70.00  69.94  82.45 
 751.1  70.00  69.94  82.59 
 752.0  70.00  69.94  82.59 
 753.1  70.00  70.26  82.47 
 754.0  70.00  69.94  82.47 
 755.1  70.00  69.94  82.47 
 756.1  70.00  69.94  82.48 
 757.0  70.00  69.94  82.48 
 758.0  70.00  69.94  82.48 
 759.0  70.00  70.26  82.36 
 760.1  70.00  69.94  82.36 
 761.0  70.00  69.94  82.36 
 762.1  70.00  69.94  82.36 
 763.0  70.00  69.94  82.36 
 764.0  70.00  69.94  82.36 
 765.0  70.00  69.94  82.36 
 766.0  70.00  69.94  82.37 
 767.0  70.00  69.94  82.37 
 768.0  70.00  69.94  82.50 
 769.0  70.00  69.94  82.50 
 770.0  70.00  69.94  82.51 
 771.0  70.00  69.94  82.51 
 772.0  70.00  69.94  82.51 
 773.0  70.00  69.94  82.51 
